ROW,ITEM_CODE,VENDOR(s),VENDOR_CODE,SUBSTITUTION,CATEGORY,PHASE,ASSIGNEE,DESCRIPTION,ITEM,UOM,LOCATION
1,ITEM-0001,,,,packaging.ship,Ship.used,Tyler,,10x10x10 S-4105,EA,CLEARVIEW
2,ITEM-0002,,,,packaging.ship,Ship.used,Tyler,,10x10x6 S-4107,EA,CLEARVIEW
3,ITEM-0003,,,,packaging.ship,Ship.used,Tyler,,10x6x4 S-4101,EA,CLEARVIEW
4,ITEM-0004,,,,packaging.ship,Ship.used,Tyler,,10x8x6 S-16709,EA,CLEARVIEW
5,ITEM-0005,,,,packaging.ship,Ship.used,Tyler,,12x10x10 S-18182,EA,CLEARVIEW
6,ITEM-0006,,,,packaging.ship,Ship.used,Tyler,,12x10x10 S-4123,EA,CLEARVIEW
7,ITEM-0007,,,,packaging.ship,Ship.used,Tyler,,14x10x10 4144,EA,CLEARVIEW
8,ITEM-0008,,,,packaging.ship,Ship.used,Tyler,,14x10x10 DW S-18920,EA,CLEARVIEW
9,ITEM-0009,,,,packaging.cook,Cook,justinwj,,28/400 Black,EA,CLEARVIEW
10,ITEM-0010,,,,packaging.cook,Cook,justinwj,,28/400 White,EA,CLEARVIEW
11,ITEM-0011,,,,packaging.cook,Cook,justinwj,,38/400 Black 3125/ Box,EA,CLEARVIEW
12,ITEM-0012,,,,packaging.cook,Cook,justinwj,,38/400 White,EA,CLEARVIEW
13,ITEM-0013,,,,packaging.cook,Cook,justinwj,,64 oz Bottles,EA,CLEARVIEW
14,ITEM-0014,,,,packaging.cook,Cook,Bill,,64 oz Bottles,EA,HANSON
15,ITEM-0015,,,,packaging.cook,Cook,justinwj,,8oz Bottles,EA,CLEARVIEW
16,ITEM-0016,,,,ingredient,Cook,justinwj,,Apple Juice Concentrate,Lbs ,CLEARVIEW
17,ITEM-0017,,,,ingredient,Cook,justinwj,,Apple Sauce ,Lbs ,CLEARVIEW
18,ITEM-0018,,,,packaging.ship,Ship.used,Tyler,,14x12x10 S-15048,EA,CLEARVIEW
19,ITEM-0019,,,,packaging.ship,Ship.used,Tyler,,14x12x10 S-4141,EA,CLEARVIEW
20,ITEM-0020,,,,spice blend,Cook,justinwj,,Apple Wassail Spice Blend,OZ,CLEARVIEW
21,ITEM-0021,,,,flavoring.ingredient,Cook,justinwj,,Apple WONF Flavoring,Lbs ,CLEARVIEW
22,ITEM-0022,,,,spice.ingredient,Brew,justinwj,,Black Pepper (whole),Lbs ,CLEARVIEW
23,ITEM-0023,,,,packaging.ship,Ship.used,Tyler,Not Using,18 x 12 x 10 DW S-14230,EA,CLEARVIEW
24,ITEM-0024,,,,packaging.ship,Ship.used,Tyler,,18x12x12 S-4635,EA,CLEARVIEW
25,ITEM-0025,,,,packaging.ship,Ship.used,Tyler,,18x1500 80ga ULINE Blown Wrap,ft,CLEARVIEW
26,ITEM-0026,,,,sell,Cook,justinwj,,Apple Wassail ( 64 oz),EA,CLEARVIEW
